date,accident
2014/10/17,146
2014/10/18,97
2014/10/19,86
2014/10/20,118
2014/10/21,113
2014/10/22,143
2014/10/23,141
2014/10/24,128
2014/10/25,108
2014/10/26,112
2014/10/27,120
2014/10/28,118
2014/10/29,119
2014/10/30,147
2014/10/31,138
2014/11/1,150
2014/11/2,109
2014/11/3,100
2014/11/4,102
2014/11/5,114
2014/11/6,135
2014/11/7,128
2014/11/8,110
2014/11/9,94
2014/11/10,107
2014/11/11,107
2014/11/12,109
2014/11/13,157
2014/11/14,128
2014/11/15,112
2014/11/16,92
2014/11/17,133
2014/11/18,146
2014/11/19,130
2014/11/20,151
2014/11/21,142
2014/11/22,104
2014/11/23,77
2014/11/24,139
2014/11/25,128
2014/11/26,136
2014/11/27,54
2014/11/28,82
2014/11/29,78
2014/11/30,79
2014/12/1,123
2014/12/2,131
2014/12/3,104
2014/12/4,149
2014/12/5,164
2014/12/6,148
2014/12/7,108
2014/12/8,109
2014/12/9,123
2014/12/10,144
2014/12/11,144
2014/12/12,160
2014/12/13,124
2014/12/14,81
2014/12/15,121
2014/12/16,134
2014/12/17,119
2014/12/18,130
2014/12/19,150
2014/12/20,96
2014/12/21,75
2014/12/22,117
2014/12/23,139
2014/12/24,86
2014/12/25,39
2014/12/26,76
2014/12/27,82
2014/12/28,55
2014/12/29,79
2014/12/30,109
2014/12/31,77
2015/1/1,65
2015/1/2,87
2015/1/3,97
2015/1/4,57
2015/1/5,71
2015/1/6,100
2015/1/7,95
2015/1/8,128
2015/1/9,141
2015/1/10,84
2015/1/11,63
2015/1/12,99
2015/1/13,124
2015/1/14,105
2015/1/15,126
2015/1/16,114
2015/1/17,94
2015/1/18,88
2015/1/19,58
2015/1/20,96
2015/1/21,91
2015/1/22,98
2015/1/23,138
2015/1/24,79
2015/1/25,73
2015/1/26,70
2015/1/27,24
2015/1/28,83
2015/1/29,93
2015/1/30,122
2015/1/31,113
2015/2/1,65
2015/2/2,79
2015/2/3,120
2015/2/4,107
2015/2/5,115
2015/2/6,142
2015/2/7,81
2015/2/8,68
2015/2/9,90
2015/2/10,111
2015/2/11,102
2015/2/12,88
2015/2/13,175
2015/2/14,100
2015/2/15,95
2015/2/16,88
2015/2/17,107
2015/2/18,119
2015/2/19,112
2015/2/20,146
2015/2/21,87
2015/2/22,78
2015/2/23,109
2015/2/24,77
2015/2/25,14
2015/2/26,18
2015/2/27,77
2015/2/28,100
2015/2/29,100
2015/3/1,98
2015/3/2,119
2015/3/3,95
2015/3/4,111
2015/3/5,121
2015/3/6,209
2015/3/7,131
2015/3/8,84
2015/3/9,121
2015/3/10,111
2015/3/11,116
2015/3/12,112
2015/3/13,112
2015/3/14,120
2015/3/15,91
2015/3/16,108
2015/3/17,100
2015/3/18,109
2015/3/19,101
2015/3/20,93
2015/3/21,85
2015/3/22,96
2015/3/23,110
2015/3/24,119
2015/3/25,104
2015/3/26,91
2015/3/27,105
2015/3/28,89
2015/3/29,95
2015/3/30,116
2015/3/31,125
2015/4/1,142
2015/4/2,161
2015/4/3,97
2015/4/4,97
2015/4/5,83
2015/4/6,97
2015/4/7,126
2015/4/8,108
2015/4/9,104
2015/4/10,100
2015/4/11,127
2015/4/12,91
2015/4/13,112
2015/4/14,108
2015/4/15,117
2015/4/16,112
2015/4/17,151
2015/4/18,122
2015/4/19,87
2015/4/20,136
2015/4/21,131
2015/4/22,116
2015/4/23,134
2015/4/24,151
2015/4/25,116
2015/4/26,86
2015/4/27,105
2015/4/28,130
2015/4/29,137
2015/4/30,139
2015/5/1,149
2015/5/2,95
2015/5/3,117
2015/5/4,102
2015/5/5,125
2015/5/6,126
2015/5/7,126
2015/5/8,132
2015/5/9,103
2015/5/10,93
2015/5/11,135
2015/5/12,133
2015/5/13,135
2015/5/14,145
2015/5/15,191
2015/5/16,157
2015/5/17,102
2015/5/18,116
2015/5/19,117
2015/5/20,141
2015/5/21,128
2015/5/22,138
2015/5/23,89
2015/5/24,84
2015/5/25,51
2015/5/26,140
2015/5/27,151
2015/5/28,152
2015/5/29,148
2015/5/30,133
2015/5/31,128
2015/6/1,127
2015/6/2,126
2015/6/3,149
2015/6/4,126
2015/6/5,143
2015/6/6,108
2015/6/7,96
2015/6/8,129
2015/6/9,120
2015/6/10,136
2015/6/11,125
2015/6/12,111
2015/6/13,69
2015/6/14,105
2015/6/15,113
2015/6/16,122
2015/6/17,139
2015/6/18,124
2015/6/19,146
2015/6/20,82
2015/6/21,109
2015/6/22,140
2015/6/23,116
2015/6/24,155
2015/6/25,145
2015/6/26,175
2015/6/27,124
2015/6/28,106
2015/6/29,131
2015/6/30,137
2015/7/1,169
2015/7/2,123
2015/7/3,84
2015/7/4,82
2015/7/5,56
2015/7/6,104
2015/7/7,154
2015/7/8,122
2015/7/9,102
2015/7/10,151
2015/7/11,100
2015/7/12,103
2015/7/13,120
2015/7/14,136
2015/7/15,141
2015/7/16,151
2015/7/17,144
2015/7/18,136
2015/7/19,107
2015/7/20,170
2015/7/21,127
2015/7/22,133
2015/7/23,122
2015/7/24,92
2015/7/25,87
2015/7/26,91
2015/7/27,142
2015/7/28,136
2015/7/29,140
2015/7/30,152
2015/7/31,170
2015/8/1,130
2015/8/2,106
2015/8/3,126
2015/8/4,138
2015/8/5,112
2015/8/6,133
2015/8/7,151
2015/8/8,89
2015/8/9,87
2015/8/10,100
2015/8/11,138
2015/8/12,158
2015/8/13,148
2015/8/14,165
2015/8/15,110
2015/8/16,95
2015/8/17,124
2015/8/18,122
2015/8/19,127
2015/8/20,121
2015/8/21,137
2015/8/22,107
2015/8/23,77
2015/8/24,114
2015/8/25,123
2015/8/26,122
2015/8/27,119
2015/8/28,117
2015/8/29,114
2015/8/30,93
2015/8/31,105
2015/9/1,124
2015/9/2,120
2015/9/3,130
2015/9/4,134
2015/9/5,79
2015/9/6,75
2015/9/7,78
2015/9/8,154
2015/9/9,156
2015/9/10,144
2015/9/11,143
2015/9/12,112
2015/9/13,91
2015/9/14,104
2015/9/15,136
2015/9/16,153
2015/9/17,143
2015/9/18,150
2015/9/19,144
2015/9/20,102
2015/9/21,114
2015/9/22,116
2015/9/23,94
2015/9/24,95
2015/9/25,96
2015/9/26,123
2015/9/27,111
2015/9/28,140
2015/9/29,144
2015/9/30,136
2015/10/1,145
2015/10/2,160
2015/10/3,110
2015/10/4,116
2015/10/5,116
2015/10/6,154
2015/10/7,136
2015/10/8,148
2015/10/9,146
2015/10/10,134
2015/10/11,116
2015/10/12,81
2015/10/13,135
2015/10/14,129
2015/10/15,135
2015/10/16,141
2015/10/17,111
2015/10/18,107
2015/10/19,139
2015/10/20,141
2015/10/21,140
2015/10/22,126
2015/10/23,173
2015/10/24,119
2015/10/25,101
2015/10/26,133
2015/10/27,122
2015/10/28,146
2015/10/29,143
2015/10/30,139
2015/10/31,84
2015/11/1,53
2015/11/2,116
2015/11/3,130
2015/11/4,126
2015/11/5,149
2015/11/6,136
2015/11/7,120
2015/11/8,94
2015/11/9,117
2015/11/10,149
2015/11/11,115
2015/11/12,121
2015/11/13,141
2015/11/14,148
2015/11/15,95
2015/11/16,118
2015/11/17,129
2015/11/18,144
2015/11/19,160
2015/11/20,163
2015/11/21,118
2015/11/22,86
2015/11/23,129
2015/11/24,139
2015/11/25,124
2015/11/26,52
2015/11/27,84
2015/11/28,82
2015/11/29,89
2015/11/30,119
2015/12/1,133
2015/12/2,118
2015/12/3,136
2015/12/4,159
2015/12/5,149
2015/12/6,90
2015/12/7,129
2015/12/8,130
2015/12/9,127
2015/12/10,135
2015/12/11,156
2015/12/12,118
2015/12/13,127
2015/12/14,110
2015/12/15,168
2015/12/16,132
2015/12/17,151
2015/12/18,134
2015/12/19,105
2015/12/20,89
2015/12/21,108
2015/12/22,109
2015/12/23,132
2015/12/24,87
2015/12/25,58
2015/12/26,78
2015/12/27,105
2015/12/28,86
2015/12/29,110
2015/12/30,116
2015/12/31,90
2016/1/1,67
2016/1/2,77
2016/1/3,73
2016/1/4,94
2016/1/5,86
2016/1/6,102
2016/1/7,100
2016/1/8,104
2016/1/9,108
2016/1/10,63
2016/1/11,120
2016/1/12,136
2016/1/13,125
2016/1/14,128
2016/1/15,151
2016/1/16,99
2016/1/17,79
2016/1/18,64
2016/1/19,120
2016/1/20,120
2016/1/21,139
2016/1/22,139
2016/1/23,55
2016/1/24,49
2016/1/25,109
2016/1/26,121
2016/1/27,119
2016/1/28,118
2016/1/29,116
2016/1/30,121
2016/1/31,74
2016/2/1,113
2016/2/2,138
2016/2/3,109
2016/2/4,114
2016/2/5,123
2016/2/6,116
2016/2/7,70
2016/2/8,97
2016/2/9,107
2016/2/10,112
2016/2/11,133
2016/2/12,141
2016/2/13,95
2016/2/14,78
2016/2/15,52
2016/2/16,111
2016/2/17,134
2016/2/18,116
2016/2/19,140
2016/2/20,115
2016/2/21,101
2016/2/22,107
2016/2/23,147
2016/2/24,148
2016/2/25,123
2016/2/26,109
2016/2/27,60
2016/2/28,94
2016/2/29,93
2016/3/1,125
2016/3/2,124
2016/3/3,124
2016/3/4,140
2016/3/5,118
2016/3/6,85
2016/3/7,104
2016/3/8,117
2016/3/9,110
2016/3/10,113
2016/3/11,126
2016/3/12,127
2016/3/13,89
2016/3/14,91
2016/3/15,96
2016/3/16,92
2016/3/17,88
2016/3/18,94
2016/3/19,88
2016/3/20,59
2016/3/21,80
2016/3/22,94
2016/3/23,96
2016/3/24,89
2016/3/25,72
2016/3/26,88
2016/3/27,53
2016/3/28,87
2016/3/29,95
2016/3/30,106
2016/3/31,108
2016/4/1,130
2016/4/2,103
2016/4/3,97
2016/4/4,105
2016/4/5,117
2016/4/6,101
2016/4/7,96
2016/4/8,99
2016/4/9,93
2016/4/10,72
2016/4/11,89
2016/4/12,83
2016/4/13,109
2016/4/14,103
2016/4/15,137
2016/4/16,111
2016/4/17,82
2016/4/18,101
2016/4/19,118
2016/4/20,105
2016/4/21,123
2016/4/22,147
2016/4/23,102
2016/4/24,63
2016/4/25,74
2016/4/26,89
2016/4/27,93
2016/4/28,102
2016/4/29,106
2016/4/30,116
2016/5/1,86
2016/5/2,138
2016/5/3,125
2016/5/4,112
2016/5/5,116
2016/5/6,117
2016/5/7,88
2016/5/8,83
2016/5/9,103
2016/5/10,102
2016/5/11,130
2016/5/12,145
2016/5/13,143
2016/5/14,112
2016/5/15,105
2016/5/16,133
2016/5/17,136
2016/5/18,140
2016/5/19,137
2016/5/20,141
2016/5/21,100
2016/5/22,81
2016/5/23,94
2016/5/24,102
2016/5/25,105
2016/5/26,123
2016/5/27,132
2016/5/28,77
2016/5/29,70
2016/5/30,55
2016/5/31,111
2016/6/1,103
2016/6/2,96
2016/6/3,116
2016/6/4,97
2016/6/5,62
2016/6/6,102
2016/6/7,103
2016/6/8,129
2016/6/9,115
2016/6/10,117
2016/6/11,87
2016/6/12,82
2016/6/13,106
2016/6/14,99
2016/6/15,124
2016/6/16,119
2016/6/17,102
2016/6/18,109
2016/6/19,65
2016/6/20,113
2016/6/21,103
2016/6/22,112
2016/6/23,95
2016/6/24,120
2016/6/25,104
2016/6/26,81
2016/6/27,115
2016/6/28,105
2016/6/29,125
2016/6/30,132
2016/7/1,121
2016/7/2,55
2016/7/3,68
2016/7/4,65
2016/7/5,87
2016/7/6,100
2016/7/7,96
2016/7/8,97
2016/7/9,77
2016/7/10,73
2016/7/11,85
2016/7/12,108
2016/7/13,107
2016/7/14,116
2016/7/15,145
2016/7/16,82
2016/7/17,66
2016/7/18,102
2016/7/19,112
2016/7/20,107
2016/7/21,141
2016/7/22,117
2016/7/23,91
2016/7/24,82
2016/7/25,106
2016/7/26,117
2016/7/27,124
2016/7/28,126
2016/7/29,110
2016/7/30,95
2016/7/31,74
2016/8/1,76
2016/8/2,88
2016/8/3,111
2016/8/4,120
2016/8/5,96
2016/8/6,69
2016/8/7,68
2016/8/8,80
2016/8/9,84
2016/8/10,97
2016/8/11,90
2016/8/12,119
2016/8/13,85
2016/8/14,78
2016/8/15,82
2016/8/16,103
2016/8/17,115
2016/8/18,88
2016/8/19,118
2016/8/20,97
2016/8/21,90
2016/8/22,88
2016/8/23,98
2016/8/24,80
2016/8/25,100
2016/8/26,109
2016/8/27,90
2016/8/28,75
2016/8/29,89
2016/8/30,72
2016/8/31,91
2016/9/1,89
2016/9/2,97
2016/9/3,82
2016/9/4,45
2016/9/5,53
2016/9/6,95
2016/9/7,95
2016/9/8,96
2016/9/9,120
2016/9/10,103
2016/9/11,74
2016/9/12,95
2016/9/13,107
2016/9/14,126
2016/9/15,105
2016/9/16,114
2016/9/17,93
2016/9/18,76
2016/9/19,90
2016/9/20,85
2016/9/21,91
2016/9/22,100
2016/9/23,104
2016/9/24,81
2016/9/25,75
2016/9/26,86
2016/9/27,83
